Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2421536,-,-,-,30.61,47.74,0,3,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed,
2017,1,1,0,30,12.600000000000001,0,0,0,3.7,N/A
2017,1,1,1,30,12.200000000000001,0,0,0,3.5,N/A
2017,1,1,2,30,11.9,0,0,0,3.4000000000000004,N/A
2017,1,1,3,30,12.100000000000001,0,0,0,3.8000000000000003,N/A
2017,1,1,4,30,13.100000000000001,7,0,7,4.2,N/A
2017,1,1,5,30,15.100000000000001,72,0,72,4.4,N/A
2017,1,1,6,30,17.6,77,0,77,5.1000000000000005,N/A
2017,1,1,7,30,19.6,210,24,222,5.7,N/A
2017,1,1,8,30,20.700000000000003,269,251,417,5.9,N/A
2017,1,1,9,30,21.3,60,0,60,5.9,N/A
2017,1,1,10,30,21.3,49,0,49,5.9,N/A
2017,1,1,11,30,20.700000000000003,34,0,34,5.7,N/A
2017,1,1,12,30,19.3,10,0,10,4.800000000000001,N/A
2017,1,1,13,30,17.400000000000002,18,0,18,4,N/A
2017,1,1,14,30,16.1,0,0,0,4,N/A
2017,1,1,15,30,15.200000000000001,0,0,0,3.8000000000000003,N/A
2017,1,1,16,30,14.4,0,0,0,3.5,N/A
2017,1,1,17,30,13.600000000000001,0,0,0,3.4000000000000004,N/A
2017,1,1,18,30,13,0,0,0,3.4000000000000004,N/A
2017,1,1,19,30,12.4,0,0,0,3.5,N/A
2017,1,1,20,30,12,0,0,0,3.6,N/A
2017,1,1,21,30,11.5,0,0,0,3.6,N/A
2017,1,1,22,30,11.100000000000001,0,0,0,3.6,N/A
2017,1,1,23,30,10.9,0,0,0,3.6,N/A
2017,1,2,0,30,10.600000000000001,0,0,0,3.8000000000000003,N/A
2017,1,2,1,30,10.5,0,0,0,4,N/A
2017,1,2,2,30,10.4,0,0,0,4.1000000000000005,N/A
2017,1,2,3,30,10.8,0,0,0,4.6000000000000005,N/A
2017,1,2,4,30,12.3,23,0,23,5.1000000000000005,N/A
2017,1,2,5,30,15.100000000000001,124,112,158,5.4,N/A
2017,1,2,6,30,18.400000000000002,164,514,394,5.800000000000001,N/A
2017,1,2,7,30,20.5,250,148,330,5.800000000000001,N/A
2017,1,2,8,30,21.400000000000002,244,382,470,5.4,N/A
2017,1,2,9,30,21.6,167,678,563,5.2,N/A
2017,1,2,10,30,21.3,176,585,483,5.1000000000000005,N/A
2017,1,2,11,30,20.400000000000002,172,254,278,5,N/A
2017,1,2,12,30,18.8,104,184,153,4.3,N/A
2017,1,2,13,30,16.8,30,33,33,3.5,N/A
2017,1,2,14,30,15.4,0,0,0,3.3000000000000003,N/A
2017,1,2,15,30,14.600000000000001,0,0,0,3.2,N/A
2017,1,2,16,30,13.8,0,0,0,3,N/A
2017,1,2,17,30,13.200000000000001,0,0,0,2.8000000000000003,N/A
2017,1,2,18,30,12.700000000000001,0,0,0,2.9000000000000004,N/A
2017,1,2,19,30,12.3,0,0,0,3.2,N/A
2017,1,2,20,30,11.9,0,0,0,3.8000000000000003,N/A
2017,1,2,21,30,11.600000000000001,0,0,0,4.4,N/A
2017,1,2,22,30,11.200000000000001,0,0,0,4.7,N/A
