Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2421536,-,-,-,30.61,47.74,0,3,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed,
2019,1,1,0,30,6.7,0,0,0,1.5,N/A
2019,1,1,1,30,6.5,0,0,0,1.4000000000000001,N/A
2019,1,1,2,30,6.4,0,0,0,1.3,N/A
2019,1,1,3,30,7.2,0,0,0,1.3,N/A
2019,1,1,4,30,9.3,48,338,92,1.8,N/A
2019,1,1,5,30,11.8,84,630,276,2.2,N/A
2019,1,1,6,30,14.700000000000001,156,438,351,2.1,N/A
2019,1,1,7,30,17,171,553,471,2,N/A
2019,1,1,8,30,17.8,233,420,481,1.7000000000000002,N/A
2019,1,1,9,30,17.900000000000002,166,617,525,1.5,N/A
2019,1,1,10,30,17.6,238,151,317,1.2000000000000002,N/A
2019,1,1,11,30,16.900000000000002,169,267,279,0.8,N/A
2019,1,1,12,30,15.700000000000001,97,15,101,0.6000000000000001,N/A
2019,1,1,13,30,14.4,25,0,25,0.6000000000000001,N/A
2019,1,1,14,30,13.600000000000001,0,0,0,0.7000000000000001,N/A
2019,1,1,15,30,13.100000000000001,0,0,0,0.8,N/A
2019,1,1,16,30,12.600000000000001,0,0,0,0.9,N/A
2019,1,1,17,30,12.5,0,0,0,0.9,N/A
2019,1,1,18,30,12.700000000000001,0,0,0,0.7000000000000001,N/A
2019,1,1,19,30,12.700000000000001,0,0,0,0.7000000000000001,N/A
2019,1,1,20,30,12.5,0,0,0,0.9,N/A
2019,1,1,21,30,12.3,0,0,0,1.2000000000000002,N/A
